species,dd_long,dd_lat
Sarangesa_purendra,68.17731,25.11948
Sarangesa_purendra,69.83592,24.13072
Sarangesa_purendra,71.72592,24.44239
Seseria_dohertyi,73.27202,33.89016
Spialia_carnea,74.02978,36.07421
Spialia_carnea,73.69558,36.24532
Spialia_carnea,73.36579,36.25460
Spialia_carnea,73.33402,36.52711
Spialia_carnea,73.19502,36.10360
Spialia_carnea,72.98768,36.13085
Spialia_carnea,72.07890,35.98481
Spialia_carnea,68.77230,34.72289
Spialia_carnea,67.52005,30.37224
Spialia_carnea,67.20162,30.36237
Spialia_carnea,67.04252,30.22602
Spialia_carnea,73.26659,33.89662
Spialia_doris,72.53629,34.02005
Spialia_doris,66.87144,30.20594
Spialia_doris,68.26336,25.39162
Spialia_doris,66.99356,25.27770
Spialia_doris,66.96156,24.99027
Spialia_galba,73.92057,36.10113
Spialia_galba,73.16660,36.18669
Spialia_galba,71.91970,35.75351
Spialia_galba,71.94706,35.54293
Spialia_galba,73.41261,33.86994
Spialia_galba,72.59685,34.02904
Spialia_galba,72.75601,33.73245
Spialia_galba,73.07251,33.45646
Spialia_galba,72.88976,33.31013
Spialia_galba,72.88093,33.03521
Spialia_galba,74.24793,31.47714
Spialia_galba,66.93950,25.20482
Spialia_galba,66.95092,24.93451
Spialia_geron,71.36852,34.40564
Spialia_geron,70.63374,33.61344
Spialia_geron,68.65712,30.35186
Spialia_geron,68.20509,30.34034
Spialia_geron,68.16939,30.61017
Spialia_geron,67.89514,30.42362
Spialia_geron,67.99032,30.63777
Spialia_geron,67.81328,30.71106
Spialia_geron,67.69717,30.57400
Spialia_geron,67.32472,30.46978
Spialia_geron,67.16482,30.31749
Spialia_geron,67.32156,29.90558
Spialia_geron,66.85927,30.29118
Spialia_geron,66.54387,30.18933
Spialia_geron,66.85083,30.03586
Spialia_obifer,72.65279,36.11275
Spialia_obifer,71.96037,35.79540
Spialia_obifer,71.89018,35.63122
Spialia_rubicunda,72.72756,36.18987
Spialia_rubicunda,72.64726,36.16369
Spialia_rubicunda,71.81110,35.91008
Spialia_rubicunda,71.74447,35.86071
Spialia_rubicunda,71.81943,35.80658
Spialia_rubicunda,71.74150,35.80479
Spialia_rubicunda,71.75637,35.69355
Spialia_zebra,73.03455,33.77934
Spialia_zebra,72.70083,33.91081
Spialia_zebra,72.98993,33.10417
Spialia_zebra,72.88286,34.05714
Tagiades_cohaerens,73.52294,34.83574
Tagiades_cohaerens,73.32687,34.68916
Tagiades_cohaerens,73.50581,34.55972
Tagiades_cohaerens,73.31355,34.56543
Tagiades_cohaerens,73.31736,34.41695
Tagiades_cohaerens,73.14603,34.24944
Tagiades_menaka,73.41587,34.10622
Tagiades_menaka,73.40992,33.89504
Tagiades_menaka,73.57277,33.84137
Tagiades_menaka,73.22278,33.84888
Tagiades_menaka,73.21707,33.57477
Tagiades_menaka,73.56352,33.69088
Badamia_axclamationis,66.99673,24.94245
Badamia_axclamationis,74.24477,31.61783
Badamia_axclamationis,73.49048,34.48508
Badamia_axclamationis,73.16211,33.84739
Badamia_axclamationis,73.55948,34.00681
Badamia_axclamationis,73.60231,33.77362
Badamia_axclamationis,73.25491,33.50474
Badamia_axclamationis,73.40244,33.36911
Badamia_axclamationis,73.24302,33.23587
Badamia_axclamationis,71.85698,35.80211
Bibasis_sena,73.21282,33.61360
Bibasis_sena,73.21282,33.85750
Bibasis_sena,73.26934,33.98539
Bibasis_sena,73.67087,33.82180
Hasora_chromus,66.94706,30.15391
Hasora_chromus,66.76146,30.68215
Hasora_chromus,67.01536,24.88611
Hasora_chromus,68.41329,25.47074
Hasora_chromus,74.20272,31.67408
Hasora_chromus,73.63442,33.81787
Hasora_chromus,73.17995,33.62632
Hasora_chromus,72.85515,33.72745
Hasora_chromus,73.01101,33.85832
Hasora_chromus,73.21326,33.87022
Cigaritis_acamas,67.08643,25.16894
Cigaritis_acamas,67.09595,24.90006
Cigaritis_acamas,68.47841,25.48779
Cigaritis_acamas,68.53076,26.48002
Cigaritis_acamas,66.60102,30.72593
Cigaritis_acamas,66.80232,30.23481
Cigaritis_acamas,67.11498,30.24623
Cigaritis_acamas,66.94223,30.45325
Cigaritis_acamas,67.10071,30.57745
Cigaritis_acamas,71.58361,34.51701
Cigaritis_acamas,71.92625,35.02859
Cigaritis_acamas,71.93577,35.67819
Cigaritis_acamas,71.93577,35.88044
Cigaritis_acamas,72.12851,35.75671
Cigaritis_acamas,70.34034,32.86745
Cigaritis_acamas,69.68302,31.43977
Cigaritis_acamas,73.18094,34.48060
Cigaritis_acamas,73.18475,34.21981
Cigaritis_acamas,72.52802,33.85242
Cigaritis_acamas,72.59274,33.54785
Cigaritis_acamas,72.83640,33.69824
Cigaritis_chitralensis,71.66604,35.98283
Cigaritis_chitralensis,71.80880,35.54025
Cigaritis_chitralensis,71.78025,35.45650
Cigaritis_chitralensis,71.76026,35.27566
Cigaritis_chitralensis,71.73266,35.64685
Cigaritis_chitralensis,71.64415,35.84292
Cigaritis_chitralensis,71.74694,35.89241
Cigaritis_chitralensis,72.39810,36.06830
Cigaritis_chitralensis,74.00120,35.41121
Cigaritis_chitralensis,75.25203,35.60841
Cigaritis_epargyros,66.94994,30.98705
Cigaritis_epargyros,66.67631,29.95674
Cigaritis_epargyros,67.83035,30.72293
Spindasis_elima,67.17078,25.26333
Spindasis_elima,67.09226,24.99028
Spindasis_elima,71.91662,35.95008
Spindasis_elima,71.86593,35.74450
Spindasis_elima,73.58676,33.27866
Spindasis_elima,73.12990,33.71553
Spindasis_elima,72.89291,33.68698
Spindasis_elima,72.96144,33.56277
Spindasis_ictis,72.00300,35.97357
Spindasis_ictis,71.78885,35.69803
Spindasis_ictis,71.98444,35.37681
Spindasis_ictis,71.98587,35.64664
Spindasis_ictis,71.99586,35.82652
Spindasis_ictis,72.39418,34.89282
Spindasis_ictis,72.76157,33.76972
Spindasis_ictis,73.11754,34.30652
Spindasis_ictis,73.04330,34.04193
Spindasis_ictis,73.09279,33.88393
Spindasis_ictis,73.43734,34.02099
Spindasis_ictis,73.73429,33.43469
Spindasis_ictis,72.21120,32.63947
Spindasis_schistacea,73.14098,33.64827
Spindasis_vulcanus,71.87971,35.91702
Spindasis_vulcanus,72.55191,35.28647
Spindasis_vulcanus,72.31099,34.76596
Spindasis_vulcanus,74.07619,31.42282
Spindasis_vulcanus,74.13042,32.49286
Spindasis_vulcanus,72.14951,32.66014
Spindasis_vulcanus,73.57957,33.89377
Spindasis_vulcanus,72.91142,33.53970
Spindasis_vulcanus,73.24407,33.52828
Spindasis_vulcanus,73.06132,33.67533
Arhopala_rama,73.27280,34.58372
Arhopala_rama,73.02831,34.22324
Arhopala_rama,73.12111,33.86989
Arhopala_rama,73.41735,34.19111
Arhopala_rama,73.22105,34.18754
Arhopala_rama,73.18892,34.39277
Arhoplala_dodonaea,71.98846,35.94714
Arhoplala_dodonaea,72.33824,35.94714
Arhoplala_dodonaea,71.96466,35.16192
Arhoplala_dodonaea,71.96466,34.96204
Arhoplala_dodonaea,72.81651,33.47488
Arhoplala_dodonaea,73.72546,33.88415
Arhoplala_dodonaea,73.17343,34.55515
Arhoplala_dodonaea,73.19960,34.28866
Arhoplala_dodonaea,73.38044,34.13875
Arhoplala_dodonaea,73.34951,34.43618
Panchala_ganesa,71.90493,35.97151
Panchala_ganesa,72.32181,36.03052
Panchala_ganesa,71.86496,35.39282
Panchala_ganesa,71.97727,35.09777
Panchala_ganesa,71.87638,34.94549
Panchala_ganesa,73.25528,34.71087
Panchala_ganesa,73.49560,34.64782
Panchala_ganesa,73.29573,34.50743
